code;effectif;milieu;eleve_par_salle;eleve_par_chaise;kit_par_eleve;tablier_par_eleve;manuel_par_eleve;eleve_par_ens;prop_ben_cantine;propo_ens_bac+;prop_ens_peda;tx_promotion;condition_scolaire
103050013;199;RUR 1;66,33333333;1,932038835;0;0;1,984924623;28,42857143;1;0,571428571;0,428571429;0,492462312;DEFAVORABLE
103050014;164;RUR 1;32,8;0,891304348;0;0;2,408536585;23,42857143;1;0,714285714;0,571428571;0,512195122;FAVORABLE
103050015;210;RUR 1;42;1,220930233;0;0;0,671428571;30;0;0,857142857;0,571428571;0,585714286;DEFAVORABLE
103060001;61;RUR 2;20,33333333;0,61;0;0,245901639;8,131147541;15,25;0;0,5;0,75;0,754098361;FAVORABLE
103060002;87;RUR 2;21,75;1,208333333;0;0,172413793;2,781609195;21,75;0;1;0,5;0,379310345;DEFAVORABLE
103060003;31;RUR 2;10,33333333;0,574074074;0;0,225806452;7,935483871;7,75;0;1;0,5;0,741935484;FAVORABLE
103060004;176;RUR 2;29,33333333;0,8;0;0,198863636;2,022727273;29,33333333;0;0,833333333;0,333333333;0,585227273;FAVORABLE
103060005;63;RUR 2;21;0,572727273;0;0,095238095;4;31,5;0;1;0,5;0,095238095;FAVORABLE
103060006;31;RUR 2;15,5;0,430555556;0;0,161290323;6,548387097;10,33333333;0;0,666666667;0,333333333;0,419354839;FAVORABLE
103060007;82;RUR 2;20,5;0,394230769;0;0,195121951;4,097560976;16,4;0;1;0,8;0,658536585;FAVORABLE
103070001;278;RUR 1;55,6;1,404040404;0,190647482;0;1,273381295;46,33333333;0;0,666666667;0,166666667;0,535971223;DEFAVORABLE
103070002;280;RUR 1;31,11111111;1,025641026;0,207142857;0;4,460714286;40;0;0,428571429;0,571428571;0,653571429;DEFAVORABLE
103070004;478;RUR 1;68,28571429;1,532051282;0;0;2,470711297;43,45454545;0;0,545454545;0,545454545;0,523012552;DEFAVORABLE
103070005;359;RUR 1;71,8;1,581497797;0;0;0,462395543;32,63636364;0;0,727272727;0,636363636;0,47632312;DEFAVORABLE
103070006;134;RUR 1;33,5;1,196428571;1;1;7,895522388;26,8;0;0,8;1;0,47761194;DEFAVORABLE
103070007;183;RUR 1;36,6;4,255813953;0;0;2,912568306;30,5;0;0,666666667;0,333333333;0,557377049;DEFAVORABLE
103070008;114;RUR 1;28,5;0,537735849;0,184210526;0;8,868421053;16,28571429;1;0,857142857;0,857142857;0,473684211;FAVORABLE
103070009;441;RUR 1;88,2;2,25;0;0;2,83446712;40,09090909;0;0,727272727;0,909090909;0,487528345;DEFAVORABLE
103070010;162;RUR 1;40,5;1,285714286;0;0;4,37037037;27;0;0,333333333;0,833333333;0,598765432;DEFAVORABLE
103070011;109;RUR 1;27,25;1,048076923;0;0;1,770642202;21,8;0;0,8;0,4;0,596330275;DEFAVORABLE
103070012;489;RUR 1;81,5;2,072033898;1;1;0,930470348;40,75;0,985685072;0,916666667;0,583333333;0,54805726;DEFAVORABLE
103070013;155;RUR 1;31;0,767326733;0,180645161;0;0;25,83333333;1;0,666666667;0,333333333;0,606451613;FAVORABLE
103070014;463;RUR 1;42,09090909;0,907843137;0;0;3,030237581;35,61538462;1;1;1;0,788336933;FAVORABLE
103070015;166;RUR 1;33,2;1,121621622;0,192771084;0;0,120481928;27,66666667;0;0,5;0,5;0,451807229;DEFAVORABLE
103070020;437;RUR 1;54,625;0,997716895;0,148741419;0;6,073226545;36,41666667;0;0,833333333;0,583333333;0,471395881;FAVORABLE
103070021;339;RUR 1;48,42857143;1,313953488;0;0;0,864306785;33,9;0;0,8;0,6;0,578171091;DEFAVORABLE
103080001;47;RUR 2;15,66666667;0,839285714;0;1,085106383;5,14893617;9,4;0;0,6;0,6;0,617021277;FAVORABLE
103080002;120;RUR 2;24;1;0;1,066666667;4,825;20;1;0,5;0,333333333;0,65;FAVORABLE
103080003;57;RUR 2;14,25;0,75;0;0;2,912280702;11,4;0;0,2;0,4;0,403508772;FAVORABLE
103080004;115;RUR 2;28,75;1,045454545;0;1,07826087;4,173913043;19,16666667;0;0,833333333;0,5;0,695652174;DEFAVORABLE
103080005;106;RUR 2;35,33333333;0,972477064;0;1,122641509;4,150943396;26,5;0;0,75;0,75;0,566037736;FAVORABLE
103080006;113;RUR 2;18,83333333;0,565;0;1,203539823;6,353982301;16,14285714;0;0,857142857;0,428571429;0,380530973;FAVORABLE
103080007;60;RUR 2;20;0,428571429;0;0;2,883333333;15;0;0,25;0,5;0,633333333;FAVORABLE
103080008;145;RUR 2;29;0,929487179;0;1,206896552;2,765517241;24,16666667;0;0,666666667;0,166666667;0,448275862;FAVORABLE
103080010;62;RUR 2;15,5;0,659574468;0;1,193548387;6,790322581;12,4;1;0,6;0,4;0,709677419;FAVORABLE
103080011;56;RUR 2;18,66666667;0,622222222;0;1,017857143;2,017857143;14;0;1;0,25;0,446428571;FAVORABLE
103080012;72;RUR 2;36;1,333333333;0;0,888888889;3,833333333;18;0;0,5;0,5;0,416666667;DEFAVORABLE
103080013;57;RUR 2;19;0,548076923;0;1,245614035;3,771929825;14,25;0;1;0;0,666666667;FAVORABLE
103080014;58;RUR 2;19,33333333;0,491525424;0;0,948275862;0,879310345;14,5;0;0,75;0,5;0,568965517;FAVORABLE
103080015;94;RUR 2;31,33333333;0,979166667;0;0;2,159574468;23,5;1;0;0,75;0,680851064;FAVORABLE
103080016;94;RUR 2;31,33333333;0,949494949;0;0,978723404;6,978723404;23,5;0;0,5;0,75;0,638297872;FAVORABLE
103080017;93;RUR 2;23,25;0,654929577;0;0;2,967741935;18,6;0;0,4;0,4;0,709677419;FAVORABLE
103080018;51;RUR 2;25,5;0,6375;0;1,058823529;5,431372549;17;0;0,333333333;0,666666667;0,568627451;FAVORABLE
103080019;144;RUR 2;24;0,923076923;0;1,076388889;1,798611111;20,57142857;0;0,285714286;0,285714286;0,513888889;FAVORABLE
103080020;43;RUR 2;14,33333333;1;0;0,837209302;3,023255814;10,75;0;1;0,25;0,581395349;FAVORABLE
103080021;13;RUR 2;13;0,8125;0;1,615384615;7,230769231;4,333333333;0;0,333333333;0,333333333;0,692307692;FAVORABLE
103080022;56;RUR 2;14;0,28;0;1,017857143;2,732142857;18,66666667;0;0,333333333;0,666666667;0,571428571;FAVORABLE
103080023;80;RUR 2;20;0,975609756;0;1;0;16;0;1;0,6;0,6;FAVORABLE
103080026;61;RUR 2;12,2;1,90625;1,016393443;2,032786885;0;15,25;0;1;0,25;0,606557377;DEFAVORABLE
103080028;71;RUR 2;35,5;0,986111111;0;1,070422535;2,14084507;14,2;0;0,4;0,2;0,605633803;FAVORABLE
103080029;51;RUR 2;17;0,542553191;0;0,921568627;2,941176471;12,75;0;0,5;0;0,745098039;FAVORABLE
103090001;68;RUR 2;17;1,0625;1,058823529;0,985294118;1,764705882;17;0;0,75;0,5;0,779411765;DEFAVORABLE
103090002;69;RUR 2;17,25;0,8625;0;1,028985507;3,84057971;17,25;0;0,75;0,5;0,492753623;FAVORABLE
103090003;74;RUR 2;37;1,233333333;0;0,932432432;4,540540541;24,66666667;0;1;1;0,756756757;DEFAVORABLE
103090004;174;RUR 2;43,5;1,0875;0;0,942528736;1,787356322;24,85714286;0;0,857142857;0,285714286;0,477011494;DEFAVORABLE
103090005;103;RUR 2;51,5;1,2875;0;1,087378641;0;20,6;0;1;0,6;0,601941748;DEFAVORABLE
103090007;10;RUR 2;3,333333333;0,769230769;0;0,7;7;5;0;0;0,5;0,6;FAVORABLE
103090008;55;RUR 2;13,75;0,423076923;0;0,981818182;4,636363636;11;0;0,6;0,2;0,563636364;FAVORABLE
103090009;101;RUR 2;25,25;0,765151515;1,99009901;1,128712871;9,306930693;16,83333333;1;0,5;0,5;0,653465347;FAVORABLE
103090010;122;RUR 2;24,4;1,207920792;0;0,918032787;2,467213115;40,66666667;0;1;0;0,418032787;DEFAVORABLE
103100001;103;RUR 2;20,6;0,656050955;0;0,941747573;4,32038835;20,6;0,941747573;0,4;0,6;0,601941748;FAVORABLE
103100002;116;RUR 2;29;0,77852349;0;1,077586207;3,086206897;23,2;0;1;0,4;0,568965517;FAVORABLE
103100003;90;RUR 2;30;0,692307692;0;1,055555556;4,255555556;30;0;0,666666667;1;0,622222222;FAVORABLE
103100004;104;RUR 2;26;0,95412844;0;0;2,942307692;20,8;0;0,4;0,2;0,730769231;FAVORABLE
103100005;125;RUR 2;31,25;0,919117647;0;1;8,616;25;0;0,8;0,4;0,584;FAVORABLE
103100006;241;RUR 2;48,2;1,544871795;0;1,020746888;2,991701245;30,125;0;0,875;0,875;0,502074689;DEFAVORABLE
103100007;183;RUR 2;45,75;1,14375;0;1,12568306;4,109289617;30,5;1;0,5;0,5;0,759562842;DEFAVORABLE
103100009;92;RUR 2;23;0,638888889;0;1,086956522;2,576086957;18,4;0;0,4;0,4;0,630434783;FAVORABLE
103100010;41;RUR 2;13,66666667;0,460674157;0;0;0;13,66666667;0;0,333333333;0;0,463414634;FAVORABLE
103100011;90;RUR 2;30;0,45;0;0,955555556;2,044444444;22,5;0;0,5;0,75;0,666666667;FAVORABLE
103100012;131;RUR 2;43,66666667;1,235849057;0;1,015267176;3,404580153;32,75;0;0,75;1;0,618320611;DEFAVORABLE
103110001;242;RUR 2;30,25;0,715976331;0;0;3,44214876;24,2;0,900826446;0,7;0,5;0,607438017;FAVORABLE
103110002;401;RUR 1;57,28571429;2,386904762;1,009975062;1,009975062;2,837905237;28,64285714;0;1;0,714285714;0,596009975;DEFAVORABLE
103110003;230;RUR 1;46;1,12195122;0;0;4,517391304;38,33333333;1;0,833333333;0,5;0,604347826;DEFAVORABLE
103110004;326;RUR 2;65,2;1,537735849;0;0;2,834355828;32,6;0,950920245;0,6;0,4;0,54601227;DEFAVORABLE
103110006;487;RUR 1;97,4;2,497435897;0;0;1,558521561;34,78571429;0;0,714285714;0,785714286;0,375770021;DEFAVORABLE
103110007;206;RUR 2;41,2;1,119565217;0;0;2,09223301;25,75;0,990291262;0,875;1;0,567961165;DEFAVORABLE
103110008;140;RUR 2;28;0,67961165;0;0;1,292857143;23,33333333;1;0,666666667;0,833333333;0,528571429;FAVORABLE
103110009;147;RUR 2;29,4;1,088888889;0;0;3,741496599;21;1;0,285714286;0,428571429;0,74829932;DEFAVORABLE
103110010;480;RUR 1;68,57142857;0;0;0;1,535416667;36,92307692;0;0,461538462;0,846153846;0,572916667;FAVORABLE
103110011;129;RUR 1;43;2,388888889;0;0;0;21,5;0;0,5;0,833333333;0,612403101;DEFAVORABLE
103110012;305;RUR 1;76,25;2,089041096;0;0;5,675409836;38,125;0;0,875;0;0,632786885;DEFAVORABLE
103110013;187;RUR 1;37,4;3,016129032;0,401069519;0;4,828877005;26,71428571;0;1;0,714285714;0,577540107;DEFAVORABLE
103110015;347;RUR 1;86,75;2,344594595;0;0;3,587896254;34,7;0;0,8;0,7;0,518731988;DEFAVORABLE
103110018;239;RUR 1;47,8;1,512658228;0;0;1,824267782;34,14285714;0;1;0,428571429;0,405857741;DEFAVORABLE
103120001;40;RUR 2;10;0,224719101;0;0;5,9;10;0;0,5;0,5;0,6;FAVORABLE
103120002;72;RUR 1;14,4;0,620689655;0;0;3,263888889;12;0;0,666666667;0,333333333;0,666666667;FAVORABLE
103120003;79;RUR 1;19,75;0,849462366;0;0;3,316455696;15,8;0;0,8;0,8;0,556962025;FAVORABLE
103120004;211;RUR 1;30,14285714;1,271084337;0;0;1,327014218;30,14285714;0;0,714285714;0,857142857;0,469194313;DEFAVORABLE
103120005;78;RUR 1;15,6;0,549295775;0;0;4,217948718;15,6;0;1;0,6;0,58974359;FAVORABLE
103120006;65;RUR 1;16,25;0,555555556;0;0;2,6;13;0,984615385;0,8;0;0,584615385;FAVORABLE
103120007;45;RUR 1;22,5;0,9375;0;0;4,2;11,25;0;0,75;0,25;0,555555556;FAVORABLE
103120008;47;RUR 2;15,66666667;1,175;0;0;3,14893617;15,66666667;0;0,666666667;1;0,574468085;DEFAVORABLE
103120009;92;RUR 1;18,4;0,597402597;0;0;1,576086957;15,33333333;0;0,5;0,333333333;0,456521739;FAVORABLE
103120010;115;RUR 2;23;1,08490566;0;0;3,391304348;19,16666667;0;0,333333333;0,833333333;0,608695652;DEFAVORABLE
103120011;26;RUR 2;6,5;0,619047619;0;0;4,307692308;8,666666667;0;1;0,666666667;0,692307692;FAVORABLE
103120012;72;RUR 1;24;0,972972973;0;0;1,680555556;14,4;0;1;0,8;0,388888889;FAVORABLE
103120013;57;RUR 2;11,4;0,814285714;0;0;3,49122807;9,5;0;0,5;0,333333333;0,421052632;FAVORABLE
103120014;78;RUR 1;19,5;0,975;0;0;1,102564103;15,6;0,948717949;0,6;0,6;0,525641026;FAVORABLE
103120015;77;RUR 1;19,25;0,693693694;0;0;2,480519481;15,4;0;0,8;0,6;0,61038961;FAVORABLE
103120016;248;RUR 1;62;1,55;0;0;1,858870968;27,55555556;0;0,666666667;0,777777778;0,536290323;DEFAVORABLE
103120017;69;RUR 1;13,8;0,306666667;0;0;5,52173913;11,5;0;0,666666667;0,5;0,52173913;FAVORABLE
103120018;76;RUR 1;12,66666667;0,493506494;0;0;2,381578947;12,66666667;1;0,666666667;0,833333333;0,565789474;FAVORABLE
103120020;51;RUR 2;12,75;0,62195122;0;0;6;10,2;1;0,8;1;0,68627451;FAVORABLE
103120021;47;RUR 2;9,4;0,573170732;0;0;6,255319149;11,75;0;0,5;0,5;0,553191489;FAVORABLE
103120022;81;RUR 1;16,2;0,547297297;0;0;1,604938272;13,5;0;0,666666667;0,5;0,469135802;FAVORABLE
103120023;63;RUR 1;31,5;0,984375;0;0;2,873015873;21;0;0,666666667;0,666666667;0,476190476;FAVORABLE
103120024;62;RUR 2;15,5;0,352272727;0;0;4,290322581;12,4;0;0,8;0;0,612903226;FAVORABLE
103120025;54;RUR 2;27;1,08;1,12962963;0;4,333333333;13,5;1;0,75;0,5;0,5;DEFAVORABLE
103120026;54;RUR 2;18;0,981818182;0;0;3;13,5;0;0,5;0,5;0,5;FAVORABLE
103120027;52;RUR 2;17,33333333;1,130434783;0;0;1,846153846;17,33333333;0;0,666666667;0,333333333;0,788461538;DEFAVORABLE
103120028;49;RUR 2;16,33333333;0,388888889;0;0;2,06122449;16,33333333;0;1;0,666666667;0,551020408;FAVORABLE
103120030;39;RUR 2;13;0,5;0;0;1;7,8;0;0,2;1;0,564102564;FAVORABLE
103120031;90;RUR 2;18;0,592105263;0;0;0;18;0;0,4;0,8;0,522222222;FAVORABLE
103120032;76;RUR 2;25,33333333;0,95;0;0;1,657894737;19;0;0,5;1;0,644736842;FAVORABLE
103130001;139;RUR 2;27,8;0,952054795;0;1,258992806;2,014388489;23,16666667;1;0,666666667;0,833333333;0,654676259;FAVORABLE
103130002;83;RUR 2;16,6;0,685950413;0;1,036144578;1,843373494;13,83333333;1;1;1;0,65060241;FAVORABLE
103130010;191;RUR 2;38,2;1,19375;0,989528796;0,989528796;3,303664921;31,83333333;1;0,333333333;0,833333333;0,659685864;DEFAVORABLE
103130011;93;RUR 2;18,6;0,830357143;0;0,903225806;2,182795699;15,5;0,903225806;0,833333333;0,5;0,64516129;FAVORABLE
103140002;34;RUR 2;8,5;0,330097087;0;1,029411765;9,617647059;6,8;1;0,2;0,6;0,823529412;FAVORABLE
103140003;98;RUR 2;19,6;0,5;0;1,193877551;8,173469388;16,33333333;1;0,333333333;0,333333333;0,479591837;FAVORABLE
103140004;94;RUR 2;23,5;0,510869565;0,14893617;0,936170213;3,29787234;18,8;0,978723404;0,2;0,8;0,670212766;FAVORABLE
103140005;21;RUR 2;5,25;0,28;0;1,047619048;5,666666667;4,2;0,952380952;0,4;0,2;0,761904762;FAVORABLE
104020002;587;URB 2;53,36363636;1,626038781;0;1,086882453;2,494037479;39,13333333;0;0,666666667;0,733333333;0,425894378;DEFAVORABLE
104020003;552;URB 2;42,46153846;1,202614379;0;0,925724638;3,648550725;39,42857143;0;0,357142857;0,928571429;0,52173913;DEFAVORABLE
104020004;403;URB 2;80,6;1,76754386;0;0,853598015;1,605459057;50,375;0;0,75;0,75;0,518610422;DEFAVORABLE
104020005;379;URB 2;37,9;0,773469388;0;1,058047493;4,970976253;31,58333333;0;0,666666667;0,916666667;0,696569921;FAVORABLE
104020006;517;URB 2;57,44444444;1,485632184;0,945841393;0;3,460348162;39,76923077;0;0,846153846;0,769230769;0,456479691;DEFAVORABLE
104020007;750;URB 2;46,875;1,094890511;0;0,990666667;2,262666667;41,66666667;0;0,722222222;1;0,653333333;DEFAVORABLE
621110001;163;RUR 2;163;0;0;1;0,901840491;54,33333333;0;0;0;0,503067485;DEFAVORABLE
621110002;113;RUR 2;113;0;0,424778761;0,238938053;0,053097345;56,5;0;0;0;0,451327434;DEFAVORABLE
621110003;121;RUR 2;121;0;0;0;1,024793388;40,33333333;0;0;0;0,396694215;DEFAVORABLE
621110005;135;RUR 2;135;0;0;0;0;67,5;0;0;0;0,474074074;DEFAVORABLE
621110007;105;RUR 2;105;0;1,466666667;0;0,685714286;52,5;0;0;0;0,323809524;DEFAVORABLE
621110009;100;RUR 2;100;0;0;0;0,18;50;0;0,5;0;0,49;DEFAVORABLE
